Disease Name,File Name,Keywords
Acne,acne_face_extreme_brown,"erythematous papules, redness and swelling, pus, abscess, red, swelling, skin cracks"
Acne,acne_face_moderate_red,"red, swelling, crusting, skin cracks, erythematous papules"
Acne,acne_hand_moderate_red,"red, scale, skin cracks, erythematous papules, crusting"
Acne,acne_legs_mild_white,"erythematous papules, pustular, abscess, scale, red, swelling"
Acne,acne_torse_severe_brown,"erythematous papules, red, swelling, pustular, abscess, skin cracks, crusting"
Acne,acne_torso_severe_red,"erythematous papules, transverse ridges, red, swelling, abscess"
Actinic Keratosis,ak_face_moderate_brown,"red, scale, crusting, abscess, skin cracks"
Actinic Keratosis,ak_face_severe_red,"erythematous papules, redness and swelling, pus, abscess, distorted, scaly plaques"
Actinic Keratosis,ak_hand_mild_white,"red, scaly plaques, silvery white, crusting, skin cracks"
Actinic Keratosis,ak_hand_moderate_white,"red, swelling, pus, scale, silvery white"
Actinic Keratosis,ak_legs_moderate_brown,"erythematous papules, red, swelling, scaly plaques, distorted"
Eczema,eczema_face_extreme_brown,"erythematous papules, red, swelling, distorted, abscess, pustular, skin cracks,"
Eczema,eczema_face_moderate_white,"erythematous papules, skin cracks, silvery white, scaly plaques, pus, abscess, swelling"
Eczema,eczema_hand_moderate_red,"red, erythematous papules, swelling, skin cracks, abscess, pustular,"
Eczema,eczema_hand_severe_brown,"erythematous papules, red, swelling, yellow, pus, abscess, scale, skin cracks"
Eczema,eczema_legs_severe_red,"erythematous papules, pustular, red, swelling, distorted, yellow, well defined edges, skin cracks, scale, pus"
Eczema,eczema_torso_moderate_red,"erythematous papules, red, swelling, pustular, abscess, skin cracks"
Eczema,eczema_torso_severe_red,"red, swelling, erythematous papules, abscess, skin cracks, distorted"
Herpes Zoster,herpes_zostor_face_extreme_brown,"erythematous papules, red, swelling, pustular, abscess, yellow, distorted, skin cracks"
Herpes Zoster, herpes_zostor_face_mild_white,"erythematous papules, silvery white, red, swelling, skin cracks, pus, yellow, crusting"
Herpes Zoster,herpes_zostor_hand_mild_white,"erythematous papules, red, swelling, pustular, abscess, silvery white, skin cracks"
Herpes Zoster,herpes_zostor_hand_moderate_red,"erythematous papules, red, swelling, pus, abscess, skin cracks, scale"
Herpes Zoster,herpes_zostor_leg_extreme_red,"erythematous papules, pus, abscess, crusting, red, swelling, skin cracks"
Herpes Zoster, herpes_zoster_legs_severe_red,"erythematous papules, red, swelling, abscess, scaly plaques, skin cracks, pus"
Herpes Zoster,herpes_zostor_torso_mild_red,"erythematous papules, red, swelling, abscess, pus, scale, skin cracks, silvery white, crusting"
Herpes Zoster, herpes_zostor_torso_moderate_brown ,"erythematous papules, red, swelling, pus, abscess, skin cracks, scale"
Melanoma,melanoma_face_severe_red,"swelling, crusting, skin cracks, red, transverse ridges"
Melanoma,melanoma_hand_extreme_brown,"crusting, scaly plaques, finger, distorted, silvery white, red"
Melanoma,melanoma_legs_mild_brown,"swelling, transverse ridges, red, pustular, abscess"
Melanoma,melanoma_legs_moderate_brown,"erythematous papules, well defined edges, distorted, skin cracks, swelling, abscess, red"
Melanoma,melanoma_torso_moderate_brown,"transverse ridges, red, swelling, erythematous papules, abscess, pus"
